"Qual é sua profissão? (Obs. ""XXX"" seria qualquer profissão ou atividade fora a tradução.)",Você trabalha com a tradução há quanto tempo?,A tradução é sua principal fonte de renda?,"Se tem outra/s fonte/s de renda, qual é (ou quais são)? (Pode marcar mais de uma opção.)",Qual é seu nível de escolaridade?,Você já fez algum curso de tradução em âmbito universitário? (Pode marcar mais de uma opção.) Obs.: Não inclua cursos de interpretação.,Já fez algum curso de tradução fora do ambiente universitário?,Já fez algum curso de versão (tradução do português para outro idioma) ou aulas de versão como parte de um curso de tradução?,Participa de alguma associação ou sindicato de tradutores? (Pode marcar mais de uma opção.),"Participa de algum grupo de tradutores nas redes sociais (por exemplo, grupo fechado do Facebook)?","Participa de algum grupo que agrega colegas de tradução (por exemplo, grupo no WhatsApp)?",Você é... (Pode marcar mais de uma opção.),Quais são suas fontes de trabalho de tradução? (Pode marcar mais de uma opção.),Qual é sua língua nativa (língua A / língua 1)?,Qual é sua segunda língua mais forte?,Você faz versão (tradução do português para outro idioma)?,Você traduz para o inglês com que frequência?,"Quando recebe um texto em português para traduzir para o inglês, quais das frases a seguir se aplicam? (Pode marcar mais de uma opção.)",Que tipos de texto traduz para o inglês? (Pode marcar mais de uma opção.),Você conta com a revisão de outra pessoa quando traduz para o inglês?,"Se trabalha com revisor(a), essa(s) pessoa(s)... (Pode marcar mais de uma opção.) Obs. Entende-se que pode trabalhar com mais de um/a revisor/a.","Você concorda com a seguinte frase: ""A tradução feita para a língua nativa é melhor que a tradução feita para a língua estrangeira""?","Você concorda com a seguinte frase: ""A tradução para L2 pode ser feita por qualquer tradutor""?","Se tivesse mais oferta de formação em versão (tradução do português para outro idioma) no Brasil, você teria interesse em fazer? (Pode marcar mais de uma opção.)",Você usa algum software de tradução? (Pode escolher mais de uma opção.),Você usa ou já usou a tradução automática para preparar suas traduções e versões? (Pode escolher mais de uma opção.),Em quais circunstâncias você usa ou já usou a tradução automática? (Pode marcar mais de uma opção.),Qual é seu gênero?,Qual é sua faixa etária?,Qual é sua cor de pele / raca?,Em que país você mora?
"""Sou tradutor/a"".",mais de 20 anos,Sim,,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Sim,"Sintra, ABRATES, ATPP",Sim,Sim,"tradutor/a autônomo/a com CNPJ., tradutor/a juramentado/a",Cliente direto,português,inglês,Faço versão somente para o inglês.,Menos da metade do tempo,"Aceito depois de confirmar a disponibilidade de um colega para fazer a revisão., Aceito se é uma área que já conheço., Aceito porque gosto de fazer a tradução para o inglês.","corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), jurídicos, setor cultural, acadêmicos - humanas e artes, documentos oficiais (certidões, diplomas, históricos escolares, etc.), Editorial não literário",Sempre ou quase sempre,"é contratada por você (ou seja, você paga do próprio bolso)., é nativa do inglês e conhece bem o português.","Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução.","Sim, SDL Trados","Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso quando estou com pouco tempo., Uso para checar trechos que tive dificuldade de entender.",feminino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,,Ensino superior.,"Sim, fiz bacharelado em tradução.",Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Editora",português,inglês,Não faço versão.,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim,  OmegaT","Sim, Google Tradutor.",Uso para checar trechos que tive dificuldade de entender.,feminino,36 a 45 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 10 a 15 anos,Não,Ensino de línguas,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Não,ABRATES,Sim,Não,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Plataforma online de tradução (p.ex. ProZ)",português,português,Faço versão somente para o inglês.,Sempre ou quase sempre,"Aceito sempre ou quase sempre., Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado.",todos,Sempre ou quase sempre,é brasileira que tem experiência na tradução para o inglês.,Discordo parcialmente.,Discordo totalmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução.","Sim, Wordfast, Sim, MemoQ",Não.,Uso para checar trechos que tive dificuldade de entender.,feminino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a"".",de 3 a 5 anos,Sim,Revisão e/ou copydesque,Mestrado,"Sim, fiz bacharelado em tradução.",Não,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Estúdios de legendagem e dublagem",português,inglês,Faço versão somente para o inglês.,Menos da metade do tempo,"Aceito sempre ou quase sempre., Aceito porque gosto de fazer a tradução para o inglês.","acadêmicos - humanas e artes, acadêmicos - ciências e exatas, audiovisual (legendagem, dublagem)",Raramente ou nunca,trabalha na mesma empresa/agência que você.,Discordo parcialmente.,Discordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)",Não uso.,Não.,,feminino,até 25 anos,branca,Brasil
"""Sou tradutor/a"".",de 15 a 20 anos,Sim,,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Sim,ABRATES,Sim,Sim,"tradutor/a autônomo/a sem CNPJ., Funcionária de editoras na área da Saúde","Cliente direto, Editora",português,espanhol,Faço versão para outro(s) idioma(s).,,,,,,,,Não tenho interesse em fazer curso de versão.,Não uso.,Não.,,feminino,46 a 55 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",de 3 a 5 anos,Não,Ensino de línguas,Pós-graduação lato sensu (especialização),Não fiz.,Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,"tradutor/a autônomo/a sem CNPJ., funcionário/a de uma empresa não especializada em tradução.",Cliente direto,português,inglês,Faço versão somente para o inglês.,Raramente,Aceito se é uma área que já conheço.,"corporativos / business, acadêmicos - humanas e artes",Raramente ou nunca,é nativa do inglês mas não conhece (bem) o português.,Concorda plenamente.,Discordo parcialmente.,"Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)",SmartCat,"Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para checar trechos que tive dificuldade de entender.",feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Não,Não,ABRATES,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Agência de tradução brasileira, Agência de tradução do exterior, Editora",português,inglês,Não faço versão.,,,,,,,,Não tenho interesse em fazer curso de versão.,"Sim, Wordfast, Sim, MemoQ",Não.,"Uso/Já usei ao traduzir para a língua nativa., Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender.",feminino,56 a 65 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",mais de 20 anos,Não,médica/funcionária pública federal aposentada,Doutorado,Não fiz.,Sim,Não,ABRATES,Não,Não,tradutor/a autônomo/a sem CNPJ.,Agência de tradução do exterior,português,inglês,Não faço versão.,,,,,,,,Não tenho interesse em fazer curso de versão.,"Sim, SDL Trados, Sim, MemoQ","Sim, Google Tradutor.",Uso para checar trechos que tive dificuldade de entender.,feminino,66 ou mais,branca,Brasil
"""Sou tradutor/a"".",de 1 a 3 anos,Não,sou sustentada,Ensino superior.,paguei optativas de tradução na universidade,Sim,Não,ABRATES,Não,Sim,tradutor/a autônomo/a sem CNPJ.,"Plataforma online de tradução (p.ex. ProZ), Plataforma online (sem ser especializada em tradução)",português,inglês,Faço versão somente para o inglês.,Menos da metade do tempo,"Aceito se é uma área que já conheço., Aceito porque gosto de fazer a tradução para o inglês.","audiovisual (legendagem, dublagem)",Raramente ou nunca,,Concorda plenamente.,"Depende (nem concordo, nem discordo).","Sim, se o curso não fosse muito caro.",Não uso.,Não.,,feminino,até 25 anos,branca,Brasil
"""Sou tradutor/a"".",de 10 a 15 anos,Sim,,Ensino superior.,"Sim, fiz bacharelado em letras com discplina(s) de tradução.",Sim,Não,ABRATES,Sim,Não,tradutor/a autônomo/a com CNPJ.,"Agência de tradução brasileira, Agência de tradução do exterior",português,inglês,Faço versão somente para o inglês.,Raramente,"Aceito se é uma área que já conheço., Aceito porque paga melhor que a tradução para o português.","setor cultural, audiovisual (legendagem, dublagem)",Raramente ou nunca,,Concorda plenamente.,"Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, SDL Trados, Sim, MemoQ, Memsource",,,feminino,26 a 35 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",de 1 a 3 anos,Não,Ensino de línguas,Ensino superior.,"Sim, fiz bacharelado em tradução.",Não,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Grupo do Facebook ou similar, Empresa onde sou funcionário/a",português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,"Aceito se é uma área que já conheço., Aceito porque gosto de fazer a tradução para o inglês.","informática e telecomunicações, acadêmicos - humanas e artes",Mais da metade do tempo,"é brasileira que tem experiência na tradução para o inglês., é brasileira especializada no assunto da tradução.",Concordo parcialmente,Concordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, Wordfast, Sim, MemoQ","Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso quando estou com pouco tempo., Uso para checar trechos que tive dificuldade de entender.",masculino,até 25 anos,parda,Brasil
"""Sou XXX e tradutor/a"".",até 1 ano,Não,"Ensino de línguas, Revisão e/ou copydesque",Ensino superior.,"Sim, fiz bacharelado em tradução.",Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Grupo do Facebook ou similar",português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,"Aceito sempre ou quase sempre., Aceito se é uma área que já conheço., Aceito porque gosto de fazer a tradução para o inglês., Aceito porque paga melhor que a tradução para o português.","acadêmicos - humanas e artes, literário",Menos da metade do tempo,é brasileira especializada no assunto da tradução.,"Depende (nem concordo, nem discordo)",Discordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, SDL Trados","Sim, DeepL.",Uso/Já usei ao traduzir para a língua estrangeira.,feminino,até 25 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",até 1 ano,Não,Estagio em direito,Ensino superior.,Não fiz.,Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Plataforma online de tradução (p.ex. ProZ)",português,inglês,Não faço versão.,,,,,,,,Não tenho interesse em fazer curso de versão.,Não uso.,"Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua estrangeira., Uso para checar trechos que tive dificuldade de entender.",feminino,26 a 35 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",de 3 a 5 anos,Não,Professora de outra área,Doutorado,"Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,funcionário/a de uma empresa não especializada em tradução.,Cliente direto,português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,"Aceito se é uma área que já conheço., Aceito porque gosto de fazer a tradução para o inglês.",Médicos,Sempre ou quase sempre,é brasileira especializada no assunto da tradução.,Concordo parcialmente,"Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)",Não uso.,"Sim, DeepL.",Uso/Já usei ao traduzir para a língua estrangeira.,feminino,56 a 65 anos,branca,Brasil
aposentada das Naçoes Unidas ,mais de 20 anos,Não,pensao aposentadoria,Mestrado,"Sim, fiz curso livre ou de extensão em tradução.",Não,Não,ABRATES,Não,Sim,aposentada ,Empresa onde sou funcionário/a,português,inglês,Não faço versão.,,,,,,,,Não tenho interesse em fazer curso de versão.,Não uso.,"Sim, Google Tradutor.",Uso para checar trechos que tive dificuldade de entender.,feminino,66 ou mais,branca,Brasil
"""Sou tradutor/a"".",de 15 a 20 anos,Sim,,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Não,ABRATES,Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Agência de tradução brasileira, Agência de tradução do exterior, Plataforma online de tradução (p.ex. ProZ)",português,inglês,Não faço versão.,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia).","Sim, SDL Trados, Sim, MemoQ",Não.,,feminino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a"".",até 1 ano,Não,aposentadoria (trabalhei na iniciativa privada),Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,ABRATES,Sim,Não,tradutor/a autônomo/a sem CNPJ.,Agência de tradução brasileira,português,inglês,Faço versão para o inglês e para outro(s) idioma(s).,Raramente,Aceito se é uma área que já conheço.,"corporativos / business, informática e telecomunicações, acadêmicos - humanas e artes",Raramente ou nunca,,Concorda plenamente.,Discordo totalmente.,"Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução.","Sim, Wordfast, softwares proprierários disponibilizados pelos clientes","Sim, Google Tradutor.",Uso algumas vezes para checar o entendimento e opções de tradução,feminino,56 a 65 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",de 1 a 3 anos,Não,Ensino de línguas,Ensino superior.,"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Não,Sim,tradutor/a autônomo/a com CNPJ.,Cliente direto,português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,"Aceito sempre ou quase sempre., Aceito se é uma área que já conheço., Aceito porque gosto de fazer a tradução para o inglês.","setor cultural, acadêmicos - humanas e artes",Raramente ou nunca,é brasileira que tem experiência na tradução para o inglês.,"Depende (nem concordo, nem discordo)",Discordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.",SmartCat,SmartCat,"Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso quando estou com pouco tempo.",feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 5 a 10 anos,Sim,Interpretação,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Sim,ABRATES,Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior",português,inglês,Faço versão somente para o inglês.,Menos da metade do tempo,"Aceito sempre ou quase sempre., Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado.","corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), acadêmicos - ciências e exatas, audiovisual (legendagem, dublagem)",Menos da metade do tempo,"trabalha na mesma empresa/agência que você., é nativa do inglês e conhece bem o português., é brasileira que tem experiência na tradução para o inglês.","Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","CafeTran, Lilt","Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender.",feminino,36 a 45 anos,prefiro não dizer,Brasil
"""Sou XXX e tradutor/a"".",até 1 ano,Não,Ensino de línguas,Ensino médio,Não fiz.,Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Editora",alemão,alemão,Faço versão para o inglês e para outro(s) idioma(s).,Menos da metade do tempo,"Aceito sempre ou quase sempre., Aceito se o prazo estiver folgado.","informática e telecomunicações, audiovisual (legendagem, dublagem), literário",Raramente ou nunca,,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim, MemoQ, Sim,  OmegaT","Sim, DeepL.","Uso quando estou com pouco tempo., Uso para checar trechos que tive dificuldade de entender.",feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 15 a 20 anos,Não,emprego formal,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,ABRATES,Sim,Não,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Empresa onde sou funcionário/a",português,inglês,Faço versão somente para o inglês.,Menos da metade do tempo,Aceito se é uma área que já conheço.,"corporativos / business, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Raramente ou nunca,é brasileira que tem experiência na tradução para o inglês.,Concorda plenamente.,"Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)",Não uso.,"Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender.",feminino,56 a 65 anos,branca,Brasil
